Source,Target
G3,G41
G3,G52
G4,G35
G4,G46
G4,G72
G4,G80
G9,G35
G9,G43
G9,G46
G9,G53
G9,G78
G9,G92
G9,G99
G11,G16
G11,G90
G14,G13
G14,G88
G18,G33
G19,G2
G19,G24
G19,G27
G19,G52
G19,G54
G19,G57
G19,G61
G19,G67
G19,G72
G19,G73
G19,G77
G19,G96
G21,G16
G25,G14
G25,G56
G25,G59
G25,G88
G25,G90
G28,G20
G28,G35
G28,G41
G28,G63
G28,G85
G28,G87
G28,G88
G30,G17
G30,G58
G30,G65
G30,G83
G31,G15
G31,G59
G31,G62
G31,G87
G32,G5
G32,G45
G32,G95
G32,G96
G34,G1
G34,G2
G34,G7
G34,G8
G34,G10
G34,G12
G34,G29
G34,G37
G34,G55
G34,G64
G34,G65
G34,G67
G34,G77
G34,G90
G34,G100
G35,G17
G38,G16
G38,G26
G38,G42
G38,G44
G38,G51
G38,G52
G38,G54
G38,G56
G38,G72
G38,G76
G39,G40
G39,G62
G39,G81
G40,G16
G40,G23
G40,G70
G41,G2
G41,G14
G41,G67
G41,G77
G41,G82
G41,G88
G45,G5
G45,G16
G45,G32
G45,G74
G45,G88
G45,G91
G45,G95
G47,G6
G47,G14
G47,G16
G47,G26
G47,G38
G47,G44
G47,G52
G47,G76
G47,G87
G47,G100
G48,G43
G48,G50
G50,G1
G50,G20
G50,G63
G51,G9
G51,G52
G51,G75
G51,G89
G52,G11
G52,G28
G52,G42
G52,G44
G52,G51
G52,G54
G52,G56
G53,G7
G53,G10
G53,G29
G53,G37
G53,G38
G53,G55
G53,G64
G53,G65
G53,G74
G53,G86
G53,G90
G53,G91
G53,G96
G53,G100
G56,G18
G56,G27
G56,G41
G56,G59
G56,G88
G56,G97
G58,G61
G60,G62
G60,G69
G60,G81
G62,G41
G65,G55
G65,G94
G65,G95
G70,G66
G71,G41
G73,G40
G73,G68
G73,G88
G77,G14
G77,G22
G80,G83
G82,G25
G82,G36
G82,G49
G82,G61
G82,G72
G82,G73
G91,G74
G92,G86
G94,G19
G94,G34
G94,G40
G94,G62
G94,G75
G96,G16
G96,G45
G96,G60
G96,G69
G96,G90
G97,G14
G97,G25
G97,G38
G97,G47
G97,G50
G97,G62
G98,G22
G98,G74
G98,G78
G98,G91
G100,G33
G100,G47
G100,G79
G100,G84
G100,G93
