Source,Target
G3,G2
G3,G24
G3,G41
G3,G42
G3,G44
G3,G56
G3,G90
G3,G93
G6,G21
G8,G6
G8,G12
G8,G17
G8,G21
G8,G24
G8,G30
G8,G40
G8,G51
G8,G59
G8,G66
G8,G76
G8,G82
G8,G91
G8,G92
G10,G42
G10,G90
G10,G97
G12,G57
G12,G61
G13,G60
G13,G99
G14,G7
G14,G55
G14,G57
G14,G61
G15,G42
G15,G50
G15,G56
G15,G90
G17,G1
G17,G7
G17,G8
G17,G29
G17,G30
G17,G35
G17,G37
G17,G40
G17,G55
G17,G61
G17,G62
G17,G63
G17,G74
G17,G75
G17,G87
G17,G98
G22,G1
G22,G3
G22,G27
G22,G35
G22,G38
G22,G44
G22,G54
G22,G62
G22,G67
G22,G73
G22,G77
G22,G79
G22,G89
G24,G1
G24,G7
G24,G19
G24,G33
G24,G34
G24,G55
G24,G61
G24,G66
G24,G68
G24,G83
G25,G54
G28,G1
G28,G7
G28,G18
G31,G9
G31,G55
G31,G62
G31,G66
G33,G64
G34,G17
G34,G18
G34,G33
G34,G60
G34,G66
G34,G71
G34,G83
G34,G88
G36,G15
G36,G27
G36,G40
G36,G43
G36,G48
G36,G80
G37,G42
G37,G44
G37,G50
G37,G56
G37,G62
G37,G75
G37,G87
G37,G90
G38,G3
G38,G8
G38,G16
G38,G22
G38,G25
G38,G39
G38,G44
G38,G50
G38,G54
G38,G62
G38,G69
G38,G83
G38,G86
G39,G26
G39,G84
G40,G13
G40,G37
G40,G62
G40,G66
G40,G74
G40,G81
G45,G4
G45,G42
G45,G56
G47,G9
G47,G19
G47,G68
G47,G83
G47,G99
G52,G3
G52,G36
G52,G78
G52,G95
G53,G25
G53,G38
G54,G26
G55,G80
G56,G42
G56,G58
G56,G97
G58,G5
G58,G23
G58,G36
G58,G48
G58,G62
G58,G72
G58,G73
G58,G79
G58,G84
G58,G85
G58,G96
G58,G99
G63,G20
G63,G32
G63,G44
G63,G49
G63,G52
G63,G62
G63,G67
G63,G89
G63,G98
G64,G22
G64,G28
G64,G91
G65,G62
G65,G99
G66,G71
G70,G55
G70,G57
G70,G84
G70,G89
G72,G5
G72,G23
G72,G44
G72,G46
G72,G58
G72,G73
G72,G84
G72,G96
G75,G29
G75,G37
G75,G40
G75,G50
G75,G60
G75,G87
G75,G90
G78,G3
G78,G36
G78,G77
G78,G95
G81,G2
G81,G18
G81,G92
G94,G60
G94,G62
G94,G81
G99,G9
G99,G25
G99,G38
G100,G10
G100,G11
G100,G46
G100,G66
