Source,Target
G7,G17
G7,G18
G7,G22
G7,G27
G7,G58
G7,G66
G7,G93
G8,G5
G8,G20
G8,G32
G8,G50
G8,G51
G8,G79
G8,G80
G8,G82
G8,G92
G8,G99
G10,G15
G10,G16
G10,G21
G10,G54
G10,G55
G10,G69
G10,G78
G10,G84
G10,G87
G10,G89
G10,G91
G10,G92
G10,G93
G12,G95
G20,G6
G20,G23
G20,G30
G20,G39
G20,G44
G20,G49
G20,G60
G20,G64
G20,G66
G20,G78
G20,G100
G26,G7
G26,G28
G26,G31
G26,G37
G26,G46
G26,G49
G26,G51
G26,G56
G26,G59
G26,G63
G26,G76
G26,G92
G30,G3
G30,G13
G30,G14
G30,G27
G30,G45
G30,G58
G30,G68
G30,G74
G30,G92
G30,G96
G32,G79
G33,G86
G33,G97
G35,G32
G36,G22
G36,G25
G36,G83
G38,G71
G39,G62
G39,G70
G39,G73
G39,G79
G39,G92
G42,G93
G42,G97
G43,G35
G51,G2
G51,G4
G51,G5
G51,G32
G51,G38
G51,G41
G51,G65
G51,G69
G51,G70
G51,G71
G51,G79
G51,G80
G51,G82
G51,G83
G51,G92
G51,G99
G52,G13
G52,G62
G52,G86
G53,G12
G53,G23
G53,G26
G53,G29
G53,G36
G53,G80
G53,G84
G53,G87
G53,G93
G59,G23
G59,G25
G59,G90
G59,G92
G59,G97
G59,G99
G68,G25
G68,G50
G68,G65
G68,G67
G68,G70
G68,G79
G68,G80
G68,G88
G68,G91
G68,G99
G69,G10
G69,G38
G69,G53
G69,G54
G69,G85
G69,G87
G69,G91
G69,G97
G71,G2
G71,G19
G71,G32
G71,G59
G71,G72
G71,G79
G71,G90
G71,G99
G72,G16
G72,G24
G72,G60
G72,G65
G72,G94
G74,G1
G74,G4
G74,G8
G74,G19
G74,G22
G74,G41
G74,G47
G74,G54
G74,G61
G74,G65
G74,G68
G74,G72
G74,G78
G75,G13
G75,G43
G77,G17
G81,G34
G81,G40
G81,G77
G82,G9
G82,G11
G82,G41
G82,G46
G82,G48
G82,G57
G82,G69
G82,G70
G82,G77
G82,G79
G82,G88
G85,G54
G85,G79
G86,G83
G88,G32
G88,G54
G88,G59
G92,G18
G92,G23
G92,G37
G92,G47
G92,G59
G92,G61
G92,G95
G94,G3
G94,G27
G94,G96
G98,G36
G98,G66
